Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)
kaufen	to buy	Tim kauft sich ein neues Auto.	Tim is buying himself a new car.
kein	no / none	Es gibt keine Eintrittskarten mehr.	There are no more tickets.
kennen	to know (be familiar with)	Kennen Sie diese Frau?	Do you know this woman?
kennenlernen	to get to know / meet	Wir möchten Sie kennenlernen.	We'd like to get to know you.
das Kind	child	Wie viele Kinder haben Sie?	How many children do you have?
der Kindergarten	kindergarten	Die kleine Laura geht schon in den Kindergarten.	Little Laura already goes to kindergarten.
das Kino	cinema	Wir sehen heute Abend im Kino einen Film.	Tonight we're watching a film at the cinema.
der Kiosk	kiosk / newsstand	Am Kiosk bekommen Sie Getränke und Zeitungen.	At the kiosk you get drinks and newspapers.
klar	clear / sure	Kommst du mit? - Klar!	Are you coming? - Sure!
die Klasse	class	In unserer Klasse sind fünfundzwanzig Schüler.	There are twenty-five pupils in our class.
die Kleidung	clothing	Wo finde ich Kleidung?	Where do I find clothing?
klein	small	Eltville ist eine kleine Stadt am Rhein.	Eltville is a small town on the Rhine.
kochen	to cook	Herr Georgi kann gut kochen.	Mr Georgi can cook well.
der Koffer	suitcase	Ist das Ihr Koffer?	Is that your suitcase?
der Kollege	colleague	Wie heißt die neue Kollegin?	What's the new colleague's name?
kommen	to come	Woher kommen Sie? - Aus Frankreich.	Where do you come from? - From France.
können	can / to be able to	Ich kann Deutsch und Russisch.	I can speak German and Russian.
das Konto	account	Wir überweisen das Geld auf Ihr Konto.	We'll transfer the money to your account.
der Kopf	head	Mein Kopf tut weh!	My head hurts!
kosten	to cost	Wie viel kostet das? - 10 Euro.	How much does that cost? - 10 euros.
krank	ill / sick	Ich bin krank und liege im Bett.	I'm ill and in bed.
kriegen	to get (colloquial)	Ich kriege 15 Euro in der Stunde.	I get 15 euros an hour.
die Küche	kitchen	Der neue Herd kommt in die Küche.	The new stove goes in the kitchen.
der Kuchen	cake	Ich nehme ein Stück Kuchen.	I'll have a piece of cake.
der Kugelschreiber	(ballpoint) pen	Hast du einen Kugelschreiber für mich?	Do you have a pen for me?
der Kühlschrank	fridge	Haben wir noch Milch? - Ja, im Kühlschrank.	Do we still have milk? - Yes, in the fridge.
kulturell	cultural	Ich bin kulturell interessiert.	I'm interested in culture.
sich kümmern	to take care of	Jede Mutter kümmert sich um ihre Kinder.	Every mother takes care of her children.
der Kunde	customer	Ich habe eine Kundin.	I have a customer.
der Kurs	course	Der Deutschkurs geht bis zum Sommer.	The German course runs until summer.
kurz	short	Ricardo hat kurzes Haar.	Ricardo has short hair.

--- L ---			
lachen	to laugh	Die Kinder lachen viel.	The children laugh a lot.
der Laden	shop / store	Im Buchladen können Sie Bücher kaufen.	In the bookshop you can buy books.
das Land	country / land	Italien ist ein schönes Land.	Italy is a beautiful country.
lang	long	Die Jeans ist zu lang.	The jeans are too long.
lange	(for) a long time	Wie lange fährt der Zug nach Berlin?	How long does the train to Berlin take?
langsam	slow(ly)	Könnten Sie bitte etwas langsamer sprechen?	Could you please speak a little more slowly?
laufen	to run / walk	Ich möchte nicht Auto fahren, ich möchte laufen.	I don't want to drive, I want to walk.
laut	loud	Nicht so laut! Das Baby schläft.	Not so loud! The baby is sleeping.
leben	to live	Sie lebt bei ihrer Schwester.	She lives with her sister.
das Leben	life	Das Leben in diesem Land ist teuer.	Life in this country is expensive.
die Lebensmittel	groceries / food	Lebensmittel bekommen Sie im Supermarkt.	You get groceries at the supermarket.
ledig	single (unmarried)	Sind Sie verheiratet? - Nein. Ledig.	Are you married? - No. Single.
legen	to put / lay	Legen Sie das Buch auf den Tisch.	Put the book on the table.
der Lehrer	teacher	Unsere Deutschlehrerin heißt Frau Müller.	Our German teacher is called Mrs Müller.
leicht	easy / light	Der Koffer ist leicht.	The suitcase is light.
leider	unfortunately	Leider kann ich nicht kommen.	Unfortunately I can't come.
leise	quiet(ly)	Seid leise. Die anderen schlafen schon.	Be quiet. The others are already sleeping.
lernen	to learn	Wie lange lernen Sie schon Deutsch?	How long have you been learning German?
lesen	to read	Ich lese ein Buch von García Márquez.	I'm reading a book by García Márquez.
letzt-	last	Morgen ist der letzte Kurstag.	Tomorrow is the last day of the course.
die Leute	people	In der Disko sind viele Leute.	There are many people at the club.
das Licht	light	Wo macht man hier das Licht an?	Where do you turn on the light here?
lieb-	dear	Liebe Susanne, lieber Hans,	Dear Susanne, dear Hans,
lieben	to love	Ich liebe dich!	I love you!
lieber	rather / prefer	Sie fährt lieber mit der Bahn.	She prefers to travel by train.
Lieblings-	favourite (prefix)	Mein Lieblingsfilm ist "Schwarze Augen".	My favourite film is "Black Eyes".
das Lied	song	Welches ist dein Lieblingslied?	Which is your favourite song?
liegen	to lie / be located	Frankfurt liegt am Main.	Frankfurt is on the Main.
links	left	Gehen Sie die nächste Straße links.	Take the next street on the left.
der Lkw	truck / lorry	Dieser Lastkraftwagen ist sehr groß.	This truck is very big.
das Lokal	pub / restaurant	In unserer Straße gibt es ein neues Lokal.	There's a new pub in our street.
die Lösung	solution / answer	Die Lösung ist ganz einfach.	The solution is quite simple.
lustig	funny / cheerful	Frau Mertens ist lustig. Sie lacht immer.	Mrs Mertens is funny. She always laughs.

--- M ---			
machen	to make / do	Was machst du heute Abend?	What are you doing tonight?
das Mädchen	girl	Junge oder Mädchen?	Boy or girl?
man	one / you (impersonal)	Hier darf man nicht rauchen.	You can't smoke here.
der Mann	man / husband	Mein Mann arbeitet bei der Polizei.	My husband works for the police.
männlich	male	Kreuzen Sie an: "weiblich" oder "männlich".	Tick: "female" or "male".
die Maschine	machine	Die Waschmaschine ist günstig.	The washing machine is a good deal.
das Meer	sea	Wir machen Urlaub am Meer.	We're going on holiday by the sea.
mehr	more	Dieses Auto kostet 1.000 Euro mehr als das andere.	This car costs 1,000 euros more than the other one.
mein	my	Mein Vater ist Arzt.	My father is a doctor.
meist-	most	Die meisten Norddeutschen sind sehr groß.	Most northern Germans are very tall.
der Mensch	person / human	Die Menschen sind hier anders als bei uns.	The people here are different from us.
mieten	to rent	Ich möchte ein Auto mieten.	I'd like to rent a car.
die Miete	rent	Die Miete für diese Wohnung ist 600 Euro.	The rent for this flat is 600 euros.
die Milch	milk	Die Milch steht im Kühlschrank.	The milk is in the fridge.
mit	with / by	Trinken Sie den Kaffee mit Milch?	Do you take your coffee with milk?
mitbringen	to bring along	Soll ich dir was mitbringen?	Shall I bring you something?
mitkommen	to come along	Ich gehe ins Kino. Kommst du mit?	I'm going to the cinema. Are you coming along?
mitmachen	to join in / take part	Warum macht ihr nicht mit?	Why don't you join in?
mitnehmen	to take along	Nehmen wir meine Schwester ins Kino mit?	Shall we take my sister to the cinema?
die Mitte	middle / centre	Der Lehrer steht in der Mitte des Klassenzimmers.	The teacher stands in the middle of the classroom.
die Möbel	furniture	Sind die Möbel neu?	Is the furniture new?
möchten	would like	Was möchten Sie trinken?	What would you like to drink?
mögen	to like	Magst du Kaffee oder Tee?	Do you like coffee or tea?
möglich	possible	Mit dieser Karte ist die Fahrt ab 9 Uhr möglich.	With this ticket, travel is possible from 9 am.
der Moment	moment	Moment mal bitte!	Just a moment, please!
morgen	tomorrow	Morgen beginnt die Schule um 10 Uhr.	Tomorrow school begins at 10 am.
müde	tired	Ich bin müde. Ich gehe schlafen.	I'm tired. I'm going to sleep.
der Mund	mouth	Öffnen Sie den Mund.	Open your mouth.
müssen	must / to have to	Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.	I have to work every day from 8 am to 6 pm.
die Mutter	mother	Frau Berghäuser ist die Mutter von Michaela.	Mrs Berghäuser is Michaela's mother.

--- N ---			
nach	to / after / past	Ich fliege nach München.	I'm flying to Munich.
nächst-	next	Sehen wir uns nächste Woche?	Shall we see each other next week?
der Name	name	Mein Name ist Thomas Schmidt.	My name is Thomas Schmidt.
nehmen	to take	Ich nehme den Bus.	I'll take the bus.
nein	no	Nein, ich habe keine Zeit.	No, I don't have time.
neu	new	Ich bin der neue Kollege.	I'm the new colleague.
nicht	not	Das stimmt nicht.	That's not right.
nichts	nothing	Das macht nichts.	That doesn't matter.
nie	never	Er kommt nie pünktlich.	He's never on time.
noch	still / yet	Ich habe noch 20 Euro.	I still have 20 euros.
normal	normal	Sein Gewicht ist normal.	His weight is normal.
die Nummer	number	Sie haben Zimmer Nummer zwölf.	You have room number twelve.
nur	only	Ich möchte nur ein Glas Wasser.	I'd only like a glass of water.

--- O ---			
oben	up / above / upstairs	Ich wohne oben.	I live upstairs.
das Obst	fruit	Im Sommer ist das Obst billig.	In summer fruit is cheap.
oder	or	Wann können Sie kommen - heute oder morgen?	When can you come - today or tomorrow?
öffnen	to open	Ich öffne die Tür.	I'm opening the door.
geöffnet	open	Der Laden ist samstags bis 16 Uhr geöffnet.	The shop is open on Saturdays until 4 pm.
oft	often	Petra treffe ich oft.	I often meet Petra.
ohne	without	Ohne Geld kann er nichts kaufen.	Without money he can't buy anything.
das Öl	oil	Den Salat machen wir ohne Öl.	We make the salad without oil.
die Oma	grandma	Meine Oma ist schon tot.	My grandma has already died.
der Opa	grandpa	Mein Opa heißt Hans.	My grandpa is called Hans.
die Ordnung	order	Das ist in Ordnung.	That's fine / okay.
der Ort	place / town	Der Ort liegt am Meer.	The place is by the sea.

--- P ---			
das Papier	paper	Hier sind Papier und Bleistift.	Here are paper and pencil.
die Papiere	documents / papers	Haben Sie Ihre Papiere dabei?	Do you have your documents with you?
der Partner / die Partnerin	partner	Sie ist meine Partnerin.	She is my partner.
die Party	party	Heute Abend machen wir eine Party.	Tonight we're having a party.
der Pass	passport	Im Hotel brauchst du deinen Pass.	You need your passport at the hotel.
die Pause	break / pause	Von 12.00 bis 12.30 Uhr haben wir Mittagspause.	From 12:00 to 12:30 we have a lunch break.
der Plan	plan / map	Ich kaufe mir einen Stadtplan.	I'm buying a city map.
der Platz	seat / place / square	Tut mir leid, der Platz ist besetzt.	Sorry, this seat is taken.
die Polizei	police	Holen Sie die Polizei!	Get the police!
die Pommes frites	chips / fries	Die Kinder essen Hähnchen mit Pommes frites.	The children eat chicken with fries.
die Post	post / post office	Wo ist die Post, bitte?	Where is the post office, please?
die Postleitzahl	postal code	Wie ist Ihre Postleitzahl?	What is your postal code?
das Praktikum	internship / work placement	Ich mache ein Praktikum bei Siemens.	I'm doing an internship at Siemens.
die Praxis	(doctor's) practice	Die Praxis ist ab acht Uhr geöffnet.	The practice is open from eight o'clock.
der Preis	price / prize	Die Preise sind hoch.	The prices are high.
das Problem	problem	Mein Problem ist die Sprache.	My problem is the language.
der Prospekt	brochure / leaflet	Bitte schicken Sie mir einen Prospekt.	Please send me a brochure.
die Prüfung	exam	Die Prüfung ist am Montag um 8 Uhr.	The exam is on Monday at 8 am.
pünktlich	punctual / on time	Der Bus fährt pünktlich um acht Uhr.	The bus leaves punctually at eight o'clock.

--- R ---			
Rad fahren	to ride a bike	Das Kind kann schon Rad fahren.	The child can already ride a bike.
rauchen	to smoke	Ich rauche nicht.	I don't smoke.
der Raum	room / space	Der Unterricht ist in Raum 332.	The class is in room 332.
die Rechnung	bill / invoice	Die Rechnung, bitte.	The bill, please.
rechts	right	Die Schillerstraße ist hier rechts.	Schillerstraße is here on the right.
regnen	to rain	Heute regnet es.	It's raining today.
der Regen	rain	Bei diesem Regen gehe ich nicht raus.	In this rain I'm not going out.
der Reis	rice	Ich esse gern Reis.	I like eating rice.
reisen	to travel	Ich reise gern.	I like to travel.
die Reise	trip / journey	Wir machen eine Reise nach Österreich.	We're taking a trip to Austria.
das Reisebüro	travel agency	Mein Mann arbeitet im Reisebüro.	My husband works at the travel agency.
der Reiseführer	travel guide (book / person)	Ich kaufe mir einen Reiseführer von Berlin.	I'm buying a travel guide of Berlin.
reparieren	to repair	Er hat das Fahrrad repariert.	He repaired the bicycle.
die Reparatur	repair	Die Reparatur ist sehr teuer.	The repair is very expensive.
das Restaurant	restaurant	Wir essen heute in einem Restaurant.	We're eating at a restaurant today.
die Rezeption	reception	Fragen Sie bitte an der Rezeption.	Please ask at the reception.
richtig	correct / right	Das ist richtig.	That's correct.
riechen	to smell	Dieser Wein riecht gut.	This wine smells good.
ruhig	quiet / calm	Ich möchte ein ruhiges Zimmer.	I'd like a quiet room.

--- S ---			
der Saft	juice	Möchtest du einen Apfelsaft?	Would you like an apple juice?
sagen	to say / tell	Sag mal, wie geht es dir denn?	Say, how are you doing?
der Salat	salad	Wie schmeckt dir der Salat?	How do you like the salad?
das Salz	salt	Kann ich bitte Salz haben?	Can I have some salt, please?
der Satz	sentence	Dieser Satz ist sehr einfach.	This sentence is very simple.
die S-Bahn	city train / S-Bahn	Ich nehme lieber die S-Bahn.	I'd rather take the S-Bahn.
der Schalter	counter / switch	Gehen Sie bitte zum Schalter drei!	Please go to counter three!
scheinen	to shine / seem	Die Sonne scheint.	The sun is shining.
schicken	to send	Bitte schicken Sie mir eine E-Mail.	Please send me an email.
das Schild	sign	Haben Sie nicht das Schild gesehen?	Didn't you see the sign?
der Schinken	ham	Ich möchte gern ein Schinkenbrot.	I'd like a ham sandwich.
schlafen	to sleep	Ich schlafe meistens acht Stunden.	I usually sleep eight hours.
schlecht	bad	Mir ist schlecht!	I feel sick!
schließen	to close	Bitte, schließen Sie die Tür.	Please close the door.
geschlossen	closed	Die Bank hat am Samstag geschlossen.	The bank is closed on Saturday.
der Schluss	end / conclusion	Ich muss jetzt Schluss machen.	I have to finish now.
der Schlüssel	key	Ich gebe Ihnen den Zimmerschlüssel.	I'll give you the room key.
schmecken	to taste	Schmeckt das gut?	Does that taste good?
schnell	fast / quick	Er fährt schnell.	He drives fast.
schon	already	Ist das Essen schon fertig?	Is the food ready already?
schön	beautiful / nice	Das ist sehr schön.	That's very nice.
der Schrank	cupboard / wardrobe	Die Gläser stehen im Schrank.	The glasses are in the cupboard.
schreiben	to write	Er schreibt jeden Tag fünfzig E-Mails.	He writes fifty emails every day.
der Schuh	shoe	Zieh die Schuhe aus!	Take off your shoes!
die Schule	school	Meine Tochter geht schon in die Schule.	My daughter already goes to school.
der Schüler	pupil / student	In meinem Kurs sind acht Schülerinnen und fünf Schüler.	In my course there are eight female and five male pupils.
schwer	heavy / difficult	Ist Ihr Gepäck sehr schwer?	Is your luggage very heavy?
die Schwester	sister	Meine Schwester kommt am Dienstag.	My sister is coming on Tuesday.
schwimmen	to swim	Ich schwimme jeden Tag einen Kilometer.	I swim a kilometre every day.
das Schwimmbad	swimming pool	Kommst du mit ins Schwimmbad?	Are you coming to the pool?
der See	lake	Komm, wir fahren zum Starnberger See.	Come, we're going to Lake Starnberg.
sehen	to see	Ich kann dich nicht sehen.	I can't see you.
die Sehenswürdigkeit	sight / attraction	Welche Sehenswürdigkeiten gibt es in Frankfurt?	What sights are there in Frankfurt?
sehr	very	Das ist sehr schwer.	That's very difficult.
sein	to be / his	Herr Müller ist in seinem Zimmer.	Mr Müller is in his room.
an sein	to be on	Das Licht ist noch an.	The light is still on.
auf sein	to be open	Das Fenster ist noch auf.	The window is still open.
weg sein	to be gone	Herr Meier ist schon weg.	Mr Meier has already gone.
zu sein	to be closed	Die Tür ist zu.	The door is closed.
seit	since / for	Ich wohne seit drei Jahren in Köln.	I've been living in Cologne for three years.
selbstständig	self-employed	Er ist selbstständig.	He is self-employed.
sich	oneself	Sie müssen sich erst anmelden.	You have to register first.
sie	she / they	Wie heißt sie?	What is her name?
Sie	you (formal)	Wie heißen Sie, bitte?	What is your name, please?
sitzen	to sit	Wo sitzen Sie?	Where are you sitting?
so	so / like this	Sie müssen das so machen!	You have to do it like this!
das Sofa	sofa	Das Sofa ist neu.	The sofa is new.
sofort	immediately / at once	Bitte antworten Sie sofort.	Please answer immediately.
der Sohn	son	Das ist Hans, mein Sohn.	This is Hans, my son.
sollen	should / to be supposed to	Soll ich kommen?	Should I come?
die Sonne	sun	Die Sonne scheint.	The sun is shining.
spät	late	Es ist schon spät, ich muss gehen.	It's already late, I have to go.
später	later	Das können wir später machen.	We can do that later.
die Speisekarte	menu	Bringen Sie mir die Speisekarte, bitte.	Bring me the menu, please.
spielen	to play	Die Kinder spielen draußen.	The children are playing outside.
der Sport	sport	Ich mache viel Sport.	I do a lot of sport.
die Sprache	language	Welche Sprachen sprichst du?	Which languages do you speak?
sprechen	to speak	Kann ich (mit) Herrn Klein sprechen?	Can I speak to Mr Klein?
die Stadt	city / town	Heidelberg ist eine alte Stadt.	Heidelberg is an old city.
stehen	to stand / be (written)	Der Bus steht schon an der Haltestelle.	The bus is already at the stop.
die Stelle	position / place / job	Ich habe eine neue Stelle.	I have a new job.
stellen	to put / place	Stell die Tasche in die Ecke!	Put the bag in the corner!
der Stock	floor / storey	Unsere Wohnung liegt im ersten Stock.	Our flat is on the first floor.
die Straße	street	In welcher Straße wohnen Sie?	Which street do you live in?
die Straßenbahn	tram	Wo fährt die Straßenbahn ab?	Where does the tram leave from?
studieren	to study (at university)	Ich studiere in Mainz.	I study in Mainz.
das Studium	studies	Das Studium beginnt im Oktober.	The studies begin in October.
der Student	student	Ich bin Studentin.	I'm a student.
die Stunde	hour / lesson	Ich bin in einer Stunde zurück.	I'll be back in an hour.
suchen	to look for / search	Suchst du etwas?	Are you looking for something?

--- T ---			
tanzen	to dance	Tanzen Sie gern?	Do you like dancing?
die Tasche	bag / pocket	Ich habe die Schlüssel in der Tasche.	I have the keys in my bag.
das Taxi	taxi	Er fährt mit dem Taxi.	He's going by taxi.
der Tee	tea	Ich trinke morgens immer Tee.	I always drink tea in the morning.
der Teil	part	Lies bitte auch den zweiten Teil.	Please also read the second part.
telefonieren	to phone / call	Darf ich mal telefonieren?	May I make a phone call?
das Telefon	telephone	Haben Sie Telefon?	Do you have a telephone?
der Termin	appointment	Am besten machen wir sofort einen Termin.	Best to make an appointment right away.
der Test	test	Der Test war einfach.	The test was easy.
teuer	expensive	Das ist mir zu teuer.	That's too expensive for me.
der Text	text	Lesen Sie bitte diesen Text.	Please read this text.
das Thema	topic / subject	Wir sprechen über das Thema "Essen und Trinken".	We're talking about the topic "food and drink".
das Ticket	ticket	Wie viel kostet das Ticket?	How much does the ticket cost?
der Tisch	table	Die Fotos liegen auf dem Tisch.	The photos are on the table.
die Tochter	daughter	Das ist meine Tochter Katharina.	This is my daughter Katharina.
die Toilette	toilet	Wo ist die Toilette, bitte?	Where is the toilet, please?
die Tomate	tomato	Die Tomate ist noch grün.	The tomato is still green.
tot	dead	Sein Vater ist schon lange tot.	His father has been dead for a long time.
(sich) treffen	to meet	Wir treffen uns immer freitags.	We always meet on Fridays.
die Treppe	stairs	Die Treppe hoch und dann links.	Up the stairs and then left.
trinken	to drink	Möchtest du etwas trinken?	Would you like something to drink?
tschüss	bye	Junge Leute sagen meistens "tschüss!".	Young people usually say "bye!".
tun	to do	Ich habe noch etwas zu tun.	I still have something to do.

--- U ---			
über	over / above / about	Gehen Sie hier über die Straße.	Cross the street here.
übernachten	to stay overnight	Du kannst bei mir übernachten.	You can stay overnight at my place.
überweisen	to transfer (money)	Sie können das Geld auch überweisen.	You can also transfer the money.
die Uhr	clock / o'clock	Es ist vier Uhr.	It's four o'clock.
um	at / around	Er kommt um sieben Uhr.	He's coming at seven o'clock.
umziehen	to move (house)	Nächsten Monat ziehen wir um.	Next month we're moving.
und	and	Peter und Helmut sind meine Söhne.	Peter and Helmut are my sons.
unser-	our	Das ist unsere Lehrerin.	That's our teacher.
unten	below / downstairs	Er wohnt ganz unten im Haus.	He lives at the very bottom of the house.
unter	under / among	Unter uns wohnt eine Familie mit drei Kindern.	Below us lives a family with three children.
der Unterricht	lessons / class	Wir haben Unterricht von 8 bis 12 Uhr.	We have class from 8 am to 12 pm.
unterschreiben	to sign	Wo muss ich unterschreiben?	Where do I have to sign?
die Unterschrift	signature	Hier fehlt noch Ihre Unterschrift.	Your signature is still missing here.
der Urlaub	holiday / vacation	Ich nehme im September Urlaub.	I'm taking holiday in September.

--- V ---			
der Vater	father	Mein Vater ist Arbeiter.	My father is a worker.
verboten	forbidden	Hier ist Rauchen verboten.	Smoking is forbidden here.
verdienen	to earn	Ich verdiene 1.500 Euro im Monat.	I earn 1,500 euros a month.
der Verein	club / association	Es gibt einen neuen Sportverein in der Stadt.	There's a new sports club in town.
verheiratet	married	Ich bin verheiratet und habe drei Kinder.	I'm married and have three children.
verkaufen	to sell	Er verkauft sein altes Auto.	He's selling his old car.
der Verkäufer	salesperson / shop assistant	Meine Mutter ist Verkäuferin im Kaufhaus.	My mother is a shop assistant in the department store.
vermieten	to rent out / let	Die Wohnung ist schon vermietet.	The flat is already rented out.
der Vermieter	landlord	Unser Vermieter heißt Huber.	Our landlord is called Huber.
verstehen	to understand	Können Sie mich verstehen?	Can you understand me?
der Verwandte	relative	Peter besucht seine Verwandten in Polen.	Peter is visiting his relatives in Poland.
viel	much / a lot	Hier regnet es viel.	It rains a lot here.
vielleicht	maybe / perhaps	Ich komme vielleicht mit dem Bus.	Maybe I'll come by bus.
von	from / of	Das Auto von Felix ist kaputt.	Felix's car is broken.
vor	before / in front of / ago	Das Auto steht vor der Tür.	The car is in front of the door.
der Vorname	first name	Ich heiße Müller, mein Vorname ist Eva.	My name is Müller, my first name is Eva.
die Vorsicht	caution / care	Vorsicht! Da kommt ein Auto.	Careful! There's a car coming.
(sich) vorstellen	to introduce (oneself)	Können Sie sich bitte vorstellen?	Can you please introduce yourself?
die Vorwahl	dialling / area code	Wie ist die Vorwahl von München?	What's the area code for Munich?

--- W ---			
wandern	to hike	Wir wandern um den Chiemsee.	We're hiking around Lake Chiemsee.
wann	when	Wann bist du fertig?	When are you ready?
warten	to wait	Können Sie ein paar Minuten warten?	Can you wait a few minutes?
warum	why	Warum kommt er nicht?	Why isn't he coming?
was	what	Was ist das?	What's that?
was für ein	what kind of	Was für eine Farbe möchten Sie?	What colour would you like?
(sich) waschen	to wash	Wo kann ich mir die Hände waschen?	Where can I wash my hands?
das Wasser	water	Ein Glas Wasser, bitte.	A glass of water, please.
weh tun	to hurt	Mein Bein tut weh.	My leg hurts.
weiblich	female	Kreuzen Sie an: "weiblich" oder "männlich".	Tick: "female" or "male".
der Wein	wine	Nein danke, ich möchte keinen Wein.	No thanks, I don't want any wine.
weit	far	Zum Bahnhof ist es nicht weit.	It's not far to the station.
weiter	further / on	Der Bus fährt nicht weiter.	The bus doesn't go any further.
welch-	which	Welches Buch möchtest du?	Which book would you like?
die Welt	world	Es gibt viele Probleme auf der Welt.	There are many problems in the world.
wenig	little / few	Er verdient wenig.	He earns little.
wer	who	Wer ist das?	Who is that?
werden	to become / will	Mein Sohn will Arzt werden.	My son wants to become a doctor.
das Wetter	weather	Wir hatten schlechtes Wetter.	We had bad weather.
wichtig	important	Dieses Formular ist sehr wichtig.	This form is very important.
wie	how / like / as	Wie heißt du?	What's your name?
wiederholen	to repeat	Können Sie das bitte wiederholen?	Can you please repeat that?
das Wiederhören	goodbye (on the phone)	Also auf Wiederhören!	Well, goodbye (on the phone)!
das Wiedersehen	goodbye	Auf Wiedersehen!	Goodbye!
wie viel	how much / many	Wie viel Milch nehmen Sie?	How much milk do you take?
willkommen	welcome	Herzlich willkommen!	Welcome!
der Wind	wind	Der Wind kommt aus Osten.	The wind comes from the east.
wir	we	Wir lernen Deutsch.	We're learning German.
wissen	to know (a fact)	Weißt du, wie er heißt?	Do you know what his name is?
wo	where	Wo ist die Post?	Where is the post office?
woher	where from	Woher kommen Sie?	Where do you come from?
wohin	where to	Wohin fährt dieser Bus?	Where does this bus go?
wohnen	to live / reside	Ich wohne in München.	I live in Munich.
die Wohnung	flat / apartment	Seit wann haben Sie diese Wohnung?	Since when have you had this flat?
wollen	to want	Wollen Sie einen Kaffee trinken?	Do you want to drink a coffee?
das Wort	word	Ich kenne das Wort nicht.	I don't know the word.
wunderbar	wonderful	Das Essen schmeckt wunderbar.	The food tastes wonderful.

--- Z ---			
zahlen	to pay	Zahlen, bitte!	The bill, please!
die Zeit	time	Ich habe heute keine Zeit.	I don't have time today.
zurzeit	currently / at the moment	Zurzeit habe ich sehr viel zu tun.	At the moment I have a lot to do.
die Zeitung	newspaper	Ich lese gern Zeitung.	I like reading the newspaper.
die Zigarette	cigarette	Wie teuer sind die Zigaretten?	How expensive are the cigarettes?
das Zimmer	room	Das Zimmer ist groß.	The room is big.
der Zoll	customs	Wir müssen noch durch den Zoll.	We still have to go through customs.
zu	to / too / closed	Der Bus fährt zum Bahnhof.	The bus goes to the station.
zufrieden	satisfied / content	Ich bin mit der Wohnung zufrieden.	I'm satisfied with the flat.
der Zug	train	Ich fahre gern mit dem Zug.	I like travelling by train.
zurück	back	Einmal Frankfurt und zurück.	One return ticket to Frankfurt.
zusammen	together	Sollen wir zusammen essen gehen?	Shall we go eat together?
zwischen	between	Heidelberg liegt zwischen Frankfurt und Stuttgart.	Heidelberg is between Frankfurt and Stuttgart.
