Deutsches Wort (German)	Bedeutung (English)	Beispielsatz (German)	Übersetzung (English)	Markiert (1/0)
das Einzelzimmer	single room	Haben Sie noch ein Einzelzimmer?	Do you still have a single room?	0
mieten	to rent	Ich möchte ein Auto mieten.	I'd like to rent a car.	0
die (Kredit)Karte	(credit) card	Kann ich auch mit Karte (be)zahlen?	Can I also pay by card?	0
die Hilfe	help	Hilfe! Bitte helfen Sie mir!	Help! Please help me!	0
die Schule	school	Meine Tochter geht schon in die Schule.	My daughter already goes to school.	0
halten	to stop / hold	Dieser Zug hält nicht in Rüdesheim.	This train doesn't stop in Rüdesheim.	0
der Jugendliche	teenager / young person	Viele Jugendliche kaufen gern ein.	Many young people like shopping.	0
empfehlen	to recommend	Welchen Wein können Sie mir empfehlen?	Which wine can you recommend to me?	0
die Sonne	sun	Die Sonne scheint.	The sun is shining.	0
die Miete	rent	Die Miete für diese Wohnung ist 600 Euro.	The rent for this flat is 600 euros.	0
finden	to find / think	Wir müssen den Schlüssel finden.	We have to find the key.	0
der See	lake	Komm, wir fahren zum Starnberger See.	Come, we're going to Lake Starnberg.	0
die Durchsage	announcement	Ich habe die Durchsage nicht verstanden.	I didn't understand the announcement.	0
der Film	film / movie	Ich möchte gern diesen Film sehen.	I'd like to see this film.	0
an sein	to be on	Das Licht ist noch an.	The light is still on.	0
der Kunde	customer	Ich habe eine Kundin.	I have a customer.	0
die Arbeit	work / job	Mein Bruder sucht Arbeit.	My brother is looking for work.	0
die Küche	kitchen	Der neue Herd kommt in die Küche.	The new stove goes in the kitchen.	0
essen	to eat	Was gibt es zu essen?	What is there to eat?	0
die Vorwahl	dialling / area code	Wie ist die Vorwahl von München?	What's the area code for Munich?	0
der Lehrer	teacher	Unsere Deutschlehrerin heißt Frau Müller.	Our German teacher is called Mrs Müller.	0
scheinen	to shine / seem	Die Sonne scheint.	The sun is shining.	0
der Fußball	football	Spielt ihr gerne Fußball?	Do you like playing football?	0
mitnehmen	to take along	Nehmen wir meine Schwester ins Kino mit?	Shall we take my sister to the cinema?	0
die Frage	question	Ich habe eine Frage.	I have a question.	0
hier	here	Hier wohne ich.	I live here.	0
spät	late	Es ist schon spät, ich muss gehen.	It's already late, I have to go.	0
das Café	café	Sollen wir uns im Café treffen?	Shall we meet at the café?	0
grillen	to grill / barbecue	Heute grillen wir im Garten.	Today we're having a barbecue in the garden.	0
die Rechnung	bill / invoice	Die Rechnung, bitte.	The bill, please.	0
der Mund	mouth	Öffnen Sie den Mund.	Open your mouth.	0
müssen	must / to have to	Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.	I have to work every day from 8 am to 6 pm.	0
dein-	your	Ist das dein Auto?	Is that your car?	0
der Sport	sport	Ich mache viel Sport.	I do a lot of sport.	0
kennenlernen	to get to know / meet	Wir möchten Sie kennenlernen.	We'd like to get to know you.	0
der Pass	passport	Im Hotel brauchst du deinen Pass.	You need your passport at the hotel.	0
der Apfel	apple	Ein Pfund Äpfel bitte.	A pound of apples, please.	0
das Ausland	abroad	Fahren Sie ins Ausland?	Are you going abroad?	0
die Welt	world	Es gibt viele Probleme auf der Welt.	There are many problems in the world.	0
wie viel	how much / many	Wie viel Milch nehmen Sie?	How much milk do you take?	0
bestellen	to order	Wir möchten bestellen, bitte.	We'd like to order, please.	0
die Lösung	solution / answer	Die Lösung ist ganz einfach.	The solution is quite simple.	0
wandern	to hike	Wir wandern um den Chiemsee.	We're hiking around Lake Chiemsee.	0
einmal	once	Diese Prüfung mache ich nicht noch einmal.	I won't do this exam again.	0
international	international	Unser Deutschkurs ist international.	Our German course is international.	0
der Drucker	printer	Mein Drucker ist kaputt.	My printer is broken.	0
das Reisebüro	travel agency	Mein Mann arbeitet im Reisebüro.	My husband works at the travel agency.	0
der Anrufbeantworter	answering machine	Sprechen Sie bitte auf den Anrufbeantworter.	Please leave a message on the answering machine.	0
das Praktikum	internship / work placement	Ich mache ein Praktikum bei Siemens.	I'm doing an internship at Siemens.	0
nicht	not	Das stimmt nicht.	That's not right.	0
best-	best	Am besten treffen wir uns morgen.	It's best if we meet tomorrow.	0
der Fuß	foot	Der linke Fuß tut mir weh.	My left foot hurts.	0
unten	below / downstairs	Er wohnt ganz unten im Haus.	He lives at the very bottom of the house.	0
wiederholen	to repeat	Können Sie das bitte wiederholen?	Can you please repeat that?	0
billig	cheap	Die Jacke kostet nur 10 Euro! Die ist aber billig!	The jacket costs only 10 euros! That's cheap!	0
morgen	tomorrow	Morgen beginnt die Schule um 10 Uhr.	Tomorrow school begins at 10 am.	0
der Arm	arm	Mein Arm tut weh.	My arm hurts.	0
der Plan	plan / map	Ich kaufe mir einen Stadtplan.	I'm buying a city map.	0
gefallen	to please / like	Das gefällt mir.	I like that.	0
sie	she / they	Wie heißt sie?	What is her name?	0
sitzen	to sit	Wo sitzen Sie?	Where are you sitting?	0
leider	unfortunately	Leider kann ich nicht kommen.	Unfortunately I can't come.	0
bezahlen	to pay	Wo muss ich bezahlen?	Where do I have to pay?	0
links	left	Gehen Sie die nächste Straße links.	Take the next street on the left.	0
die Bitte	request	Ich habe noch eine Bitte.	I have one more request.	0
anbieten	to offer	Was darf ich dir anbieten?	What may I offer you?	0
leicht	easy / light	Der Koffer ist leicht.	The suitcase is light.	0
das Wiedersehen	goodbye	Auf Wiedersehen!	Goodbye!	0
einladen	to invite	Darf ich Sie zu einem Kaffee einladen?	May I invite you for a coffee?	0
das Glück	luck / happiness	Viel Glück!	Good luck!	0
man	one / you (impersonal)	Hier darf man nicht rauchen.	You can't smoke here.	0
die Kasse	checkout / till	Zahlen Sie bitte an der Kasse.	Please pay at the checkout.	0
Lieblings-	favourite (prefix)	"Mein Lieblingsfilm ist ""Schwarze Augen""."	"My favourite film is ""Black Eyes""."	0
liegen	to lie / be located	Frankfurt liegt am Main.	Frankfurt is on the Main.	0
bitter	bitter	Der Kaffee schmeckt bitter.	The coffee tastes bitter.	0
das Kind	child	Wie viele Kinder haben Sie?	How many children do you have?	0
besetzt	occupied / busy	Der Platz ist besetzt.	The seat is taken.	0
der Vermieter	landlord	Unser Vermieter heißt Huber.	Our landlord is called Huber.	0
die Flasche	bottle	Eine Flasche Bier, bitte.	A bottle of beer, please.	0
glauben	to believe / think	Ich glaube, er kommt gleich.	I think he's coming soon.	0
die Papiere	documents / papers	Haben Sie Ihre Papiere dabei?	Do you have your documents with you?	0
das Fieber	fever	Mein Mann hat noch immer Fieber.	My husband still has a fever.	0
die Farbe	colour	Die Farbe gefällt mir gut.	I like the colour.	0
lesen	to read	Ich lese ein Buch von García Márquez.	I'm reading a book by García Márquez.	0
der Fisch	fish	Ich esse gern Fisch.	I like eating fish.	0
fehlen	to be missing / absent	Er fehlt schon seit drei Tagen.	He's been absent for three days.	0
der Doktor	doctor	Meine Tochter ist krank. Wir gehen zum Doktor.	My daughter is ill. We're going to the doctor.	0
das Wetter	weather	Wir hatten schlechtes Wetter.	We had bad weather.	0
der Vater	father	Mein Vater ist Arbeiter.	My father is a worker.	0
der Balkon	balcony	Die Wohnung hat auch einen kleinen Balkon.	The flat also has a small balcony.	0
verkaufen	to sell	Er verkauft sein altes Auto.	He's selling his old car.	0
eilig	urgent / in a hurry	Hast du es eilig?	Are you in a hurry?	0
die Praxis	(doctor's) practice	Die Praxis ist ab acht Uhr geöffnet.	The practice is open from eight o'clock.	0
auf	on / onto / open	Die Kinder spielen auf der Straße.	The children are playing in the street.	0
automatisch	automatic(ally)	Das geht automatisch.	That works automatically.	0
der Baum	tree	Vorsicht, fahr nicht an den Baum!	Careful, don't drive into the tree!	0
legen	to put / lay	Legen Sie das Buch auf den Tisch.	Put the book on the table.	0
also	so / well	Also, es ist so: ...	So, it's like this: ...	0
wohnen	to live / reside	Ich wohne in München.	I live in Munich.	0
kein	no / none	Es gibt keine Eintrittskarten mehr.	There are no more tickets.	0
das Brötchen	bread roll	Möchtest du Brötchen zum Frühstück?	Would you like rolls for breakfast?	0
trinken	to drink	Möchtest du etwas trinken?	Would you like something to drink?	0
lernen	to learn	Wie lange lernen Sie schon Deutsch?	How long have you been learning German?	0
das Datum	date	Bitte schreiben Sie das Datum auf das Formular.	Please write the date on the form.	0
bald	soon	Ich komme bald.	I'm coming soon.	0
verheiratet	married	Ich bin verheiratet und habe drei Kinder.	I'm married and have three children.	0
die Adresse	address	Können Sie mir seine Adresse sagen?	Can you tell me his address?	0
der Arzt	doctor	Morgen habe ich einen Termin bei meiner Ärztin.	Tomorrow I have an appointment with my doctor.	0
das Zimmer	room	Das Zimmer ist groß.	The room is big.	0
weh tun	to hurt	Mein Bein tut weh.	My leg hurts.	0
weg sein	to be gone	Herr Meier ist schon weg.	Mr Meier has already gone.	0
das Öl	oil	Den Salat machen wir ohne Öl.	We make the salad without oil.	0
und	and	Peter und Helmut sind meine Söhne.	Peter and Helmut are my sons.	0
über	over / above / about	Gehen Sie hier über die Straße.	Cross the street here.	0
der Kurs	course	Der Deutschkurs geht bis zum Sommer.	The German course runs until summer.	0
die Freizeit	free time / leisure	In meiner Freizeit spiele ich oft Fußball.	In my free time I often play football.	0
gültig	valid	Der Pass ist nicht mehr gültig.	The passport is no longer valid.	0
aufstehen	to get up / stand up	Ich muss immer um vier Uhr aufstehen.	I always have to get up at four o'clock.	0
der Geburtstag	birthday	Herzlichen Glückwunsch zum Geburtstag!	Happy birthday!	0
der Anruf	(phone) call	Sie bekommt viele Anrufe auf ihrem Handy.	She gets many calls on her mobile.	0
brauchen	to need	Brauchst du die Zeitung noch?	Do you still need the newspaper?	0
geradeaus	straight ahead	Gehen Sie immer geradeaus!	Keep going straight ahead!	0
die Großeltern	grandparents	Meine Großeltern leben in Japan.	My grandparents live in Japan.	0
schließen	to close	Bitte, schließen Sie die Tür.	Please close the door.	0
allein	alone	Er kommt allein.	He's coming alone.	0
das Auge	eye	Er hat blaue Augen.	He has blue eyes.	0
die Abfahrt	departure	Vor der Abfahrt rufe ich an.	Before departure I'll call.	0
leben	to live	Sie lebt bei ihrer Schwester.	She lives with her sister.	0
immer	always	Frau Bast kommt immer zu spät.	Mrs Bast is always late.	0
die Anzeige	advertisement / notice	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advert in the newspaper.	0
die Gruppe	group	Die erste Gruppe beginnt um 16 Uhr.	The first group begins at 4 pm.	0
die Toilette	toilet	Wo ist die Toilette, bitte?	Where is the toilet, please?	0
die Nummer	number	Sie haben Zimmer Nummer zwölf.	You have room number twelve.	0
der Familienname	surname / family name	Meine Familiennamen sind García González.	My surnames are García González.	0
das Gemüse	vegetables	Gemüse brauchen wir auch noch.	We also still need vegetables.	0
der Großvater	grandfather	Mein Großvater ist schon 80.	My grandfather is already 80.	0
einkaufen	to shop / go shopping	Ich muss noch für morgen einkaufen.	I still have to shop for tomorrow.	0
der Junge	boy	Ich habe zwei Kinder, einen Jungen und ein Mädchen.	I have two children, a boy and a girl.	0
die Zeit	time	Ich habe heute keine Zeit.	I don't have time today.	0
möglich	possible	Mit dieser Karte ist die Fahrt ab 9 Uhr möglich.	With this ticket, travel is possible from 9 am.	0
unterschreiben	to sign	Wo muss ich unterschreiben?	Where do I have to sign?	0
zusammen	together	Sollen wir zusammen essen gehen?	Shall we go eat together?	0
das Apartment	apartment	Wir haben ein Apartment gemietet.	We rented an apartment.	0
der Schluss	end / conclusion	Ich muss jetzt Schluss machen.	I have to finish now.	0
der Platz	seat / place / square	Tut mir leid, der Platz ist besetzt.	Sorry, this seat is taken.	0
aussteigen	to get off / out	Wo muss ich aussteigen?	Where do I have to get off?	0
frei	free / vacant	Ist der Platz noch frei?	Is this seat still free?	0
aus sein	to be off / over	Die Schule ist aus.	School is over.	0
vor	before / in front of / ago	Das Auto steht vor der Tür.	The car is in front of the door.	0
beide	both	Wir kommen beide.	We're both coming.	0
die Heimat	home / homeland	Ich komme aus der Schweiz. Das ist meine Heimat.	I come from Switzerland. That's my home.	0
schicken	to send	Bitte schicken Sie mir eine E-Mail.	Please send me an email.	0
dir	you (dative) / to you	Gefallen dir die Blumen?	Do you like the flowers?	0
sagen	to say / tell	Sag mal, wie geht es dir denn?	Say, how are you doing?	0
bar	cash	Muss ich bar zahlen oder geht's auch mit Karte?	Do I have to pay cash or is card also okay?	0
sofort	immediately / at once	Bitte antworten Sie sofort.	Please answer immediately.	0
aussehen	to look / appear	Das sieht schön aus.	That looks nice.	0
auf sein	to be open	Das Fenster ist noch auf.	The window is still open.	0
mein	my	Mein Vater ist Arzt.	My father is a doctor.	0
gehören	to belong	Wem gehört das?	Who does that belong to?	0
lieb-	dear	Liebe Susanne, lieber Hans,	Dear Susanne, dear Hans,	0
gut	good / well	Das finde ich gut.	I think that's good.	0
überweisen	to transfer (money)	Sie können das Geld auch überweisen.	You can also transfer the money.	0
gewinnen	to win	Wer gewinnt das Spiel?	Who wins the game?	0
drücken	to press / push	Drück hier, dann geht der Computer an.	Press here, then the computer turns on.	0
das Restaurant	restaurant	Wir essen heute in einem Restaurant.	We're eating at a restaurant today.	0
weit	far	Zum Bahnhof ist es nicht weit.	It's not far to the station.	0
das Konto	account	Wir überweisen das Geld auf Ihr Konto.	We'll transfer the money to your account.	0
rechts	right	Die Schillerstraße ist hier rechts.	Schillerstraße is here on the right.	0
zurzeit	currently / at the moment	Zurzeit habe ich sehr viel zu tun.	At the moment I have a lot to do.	0
was	what	Was ist das?	What's that?	0
bedeuten	to mean	Was bedeutet das Wort?	What does the word mean?	0
der Text	text	Lesen Sie bitte diesen Text.	Please read this text.	0
mitmachen	to join in / take part	Warum macht ihr nicht mit?	Why don't you join in?	0
günstig	cheap / good value	Dort gibt es günstige Angebote.	There are good deals there.	0
die Straße	street	In welcher Straße wohnen Sie?	Which street do you live in?	0
der Buchstabe	letter (of the alphabet)	Diesen Buchstaben gibt es in meiner Sprache nicht.	This letter doesn't exist in my language.	0
die E-Mail	email	Ich habe Ihre E-Mail nicht bekommen.	I didn't get your email.	0
das Papier	paper	Hier sind Papier und Bleistift.	Here are paper and pencil.	0
der Schalter	counter / switch	Gehen Sie bitte zum Schalter drei!	Please go to counter three!	0
anmachen	to switch on	Mach bitte das Licht an!	Please turn on the light!	0
der Bruder	brother	Sein Bruder arbeitet auch hier.	His brother also works here.	0
das Hähnchen	(roast) chicken	Ein Hähnchen mit Pommes bitte!	A chicken with fries, please!	0
der Brief	letter	Haben Sie einen Brief für mich?	Do you have a letter for me?	0
der Saft	juice	Möchtest du einen Apfelsaft?	Would you like an apple juice?	0
kochen	to cook	Herr Georgi kann gut kochen.	Mr Georgi can cook well.	0
der Wind	wind	Der Wind kommt aus Osten.	The wind comes from the east.	0
der Ausländer	foreigner	Sind Sie Ausländerin?	Are you a foreigner?	0
machen	to make / do	Was machst du heute Abend?	What are you doing tonight?	0
kulturell	cultural	Ich bin kulturell interessiert.	I'm interested in culture.	0
aber	but	Ich bin oft im Büro, aber nur für wenige Stunden.	I'm often in the office, but only for a few hours.	0
das Thema	topic / subject	"Wir sprechen über das Thema ""Essen und Trinken""."	"We're talking about the topic ""food and drink""."	0
glücklich	happy	Meine Kinder sind glücklich verheiratet.	My children are happily married.	0
schwimmen	to swim	Ich schwimme jeden Tag einen Kilometer.	I swim a kilometre every day.	0
spielen	to play	Die Kinder spielen draußen.	The children are playing outside.	0
das Beispiel	example	Kannst du mir ein Beispiel sagen?	Can you give me an example?	0
das Bett	bed	Wir brauchen noch ein Kinderbett.	We still need a child's bed.	0
die Größe	size	Haben Sie das auch in Größe 40?	Do you have this in size 40 too?	0
der Reis	rice	Ich esse gern Reis.	I like eating rice.	0
die Postleitzahl	postal code	Wie ist Ihre Postleitzahl?	What is your postal code?	0
der Eingang	entrance	Der Eingang ist um die Ecke.	The entrance is around the corner.	0
wohin	where to	Wohin fährt dieser Bus?	Where does this bus go?	0
(sich) vorstellen	to introduce (oneself)	Können Sie sich bitte vorstellen?	Can you please introduce yourself?	0
geschlossen	closed	Die Bank hat am Samstag geschlossen.	The bank is closed on Saturday.	0
das Mädchen	girl	Junge oder Mädchen?	Boy or girl?	0
das Taxi	taxi	Er fährt mit dem Taxi.	He's going by taxi.	0
die Sprache	language	Welche Sprachen sprichst du?	Which languages do you speak?	0
wer	who	Wer ist das?	Who is that?	0
gratulieren	to congratulate	Ich gratuliere dir!	Congratulations! / I congratulate you!	0
ich	I	Ich heiße Veronika.	My name is Veronika.	0
oft	often	Petra treffe ich oft.	I often meet Petra.	0
abholen	to pick up / collect	Wann kann ich den Schrank bei dir abholen?	When can I pick up the cupboard from you?	0
die Hand	hand	Er gibt mir die Hand.	He shakes my hand.	0
die Dusche	shower	Unsere Wohnung hat nur eine Dusche.	Our flat only has a shower.	0
klar	clear / sure	Kommst du mit? - Klar!	Are you coming? - Sure!	0
das Sofa	sofa	Das Sofa ist neu.	The sofa is new.	0
arbeitslos	unemployed	Es gibt bei uns viele Leute, die arbeitslos sind.	There are many people here who are unemployed.	0
die Tomate	tomato	Die Tomate ist noch grün.	The tomato is still green.	0
das Angebot	offer / special offer	Heute sind Sportschuhe im Angebot.	Today sports shoes are on offer.	0
schnell	fast / quick	Er fährt schnell.	He drives fast.	0
der Eintritt	entry / admission	Der Preis für den Eintritt ist 5 Euro.	The price for admission is 5 euros.	0
öffnen	to open	Ich öffne die Tür.	I'm opening the door.	0
der Schrank	cupboard / wardrobe	Die Gläser stehen im Schrank.	The glasses are in the cupboard.	0
sehr	very	Das ist sehr schwer.	That's very difficult.	0
der Aufzug	lift / elevator	In diesem Haus gibt es keinen Aufzug.	There's no lift in this building.	0
das Fleisch	meat	Fleisch mag ich nicht.	I don't like meat.	0
die Führung	guided tour	Die Führung durch das Haus beginnt in 3 Minuten.	The tour of the house begins in 3 minutes.	0
danke	thank you	Soll ich Ihnen helfen? - Nein, danke!	Shall I help you? - No, thank you!	0
es	it	Es regnet.	It's raining.	0
sein	to be / his	Herr Müller ist in seinem Zimmer.	Mr Müller is in his room.	0
müde	tired	Ich bin müde. Ich gehe schlafen.	I'm tired. I'm going to sleep.	0
der Gast	guest	Am Wochenende haben wir mehrere Gäste.	At the weekend we have several guests.	0
pünktlich	punctual / on time	Der Bus fährt pünktlich um acht Uhr.	The bus leaves punctually at eight o'clock.	0
die Bank	bank / bench	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock already.	0
die Butter	butter	Ein Brötchen mit Butter und Käse, bitte.	A roll with butter and cheese, please.	0
nichts	nothing	Das macht nichts.	That doesn't matter.	0
da	there / here / then	Ist Herr Klein schon da?	Is Mr Klein here already?	0
verdienen	to earn	Ich verdiene 1.500 Euro im Monat.	I earn 1,500 euros a month.	0
das Brot	bread	Haben Sie auch Weißbrot?	Do you also have white bread?	0
hinten	at the back / behind	Die Tür zum Aussteigen ist hinten.	The door to get off is at the back.	0
seit	since / for	Ich wohne seit drei Jahren in Köln.	I've been living in Cologne for three years.	0
der Name	name	Mein Name ist Thomas Schmidt.	My name is Thomas Schmidt.	0
das Handy	mobile phone	In der Schule bitte die Handys ausmachen!	Please turn off mobile phones in school!	0
der Automat	vending / ticket machine	Die Fahrkarten gibt es nur am Automaten.	The tickets are only available at the machine.	0
das Licht	light	Wo macht man hier das Licht an?	Where do you turn on the light here?	0
kosten	to cost	Wie viel kostet das? - 10 Euro.	How much does that cost? - 10 euros.	0
der Verwandte	relative	Peter besucht seine Verwandten in Polen.	Peter is visiting his relatives in Poland.	0
das Geld	money	Hast du noch Geld?	Do you still have money?	0
nehmen	to take	Ich nehme den Bus.	I'll take the bus.	0
kaufen	to buy	Tim kauft sich ein neues Auto.	Tim is buying himself a new car.	0
tot	dead	Sein Vater ist schon lange tot.	His father has been dead for a long time.	0
das Auto	car	Er kommt mit dem Auto.	He's coming by car.	0
nein	no	Nein, ich habe keine Zeit.	No, I don't have time.	0
helfen	to help	Können Sie mir helfen, bitte?	Can you help me, please?	0
das Wiederhören	goodbye (on the phone)	Also auf Wiederhören!	Well, goodbye (on the phone)!	0
die Maschine	machine	Die Waschmaschine ist günstig.	The washing machine is a good deal.	0
bei	at / near / with	Ich wohne bei meinen Eltern.	I live with my parents.	0
das Wort	word	Ich kenne das Wort nicht.	I don't know the word.	0
daneben	next to it / beside	Du kennst die Post. Daneben ist die Bank.	You know the post office. The bank is next to it.	0
die Hochzeit	wedding	Zu dieser Hochzeit kommen mehr als fünfzig Gäste.	More than fifty guests are coming to this wedding.	0
die Post	post / post office	Wo ist die Post, bitte?	Where is the post office, please?	0
nie	never	Er kommt nie pünktlich.	He's never on time.	0
die Entschuldigung	apology / excuse me	Entschuldigung! - Bitte.	Sorry! - That's okay.	0
feiern	to celebrate	Wir feiern heute meinen Geburtstag.	We're celebrating my birthday today.	0
circa / ca.	approximately / about	Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.	From Mainz to Frankfurt it's about fifty kilometres.	0
der Familienstand	marital status	"Bei ""Familienstand"" musst du ""ledig"" ankreuzen."	"For ""marital status"" you have to tick ""single""."	0
jung	young	Claudia ist 21. - Was? Noch so jung?	Claudia is 21. - What? So young?	0
gerade	just / right now / straight	Da kommt er ja gerade.	There he comes right now.	0
sich kümmern	to take care of	Jede Mutter kümmert sich um ihre Kinder.	Every mother takes care of her children.	0
denn	because / for	Ich kann nicht kommen, denn ich bin krank.	I can't come, because I'm ill.	0
die Ordnung	order	Das ist in Ordnung.	That's fine / okay.	0
nächst-	next	Sehen wir uns nächste Woche?	Shall we see each other next week?	0
krank	ill / sick	Ich bin krank und liege im Bett.	I'm ill and in bed.	0
lustig	funny / cheerful	Frau Mertens ist lustig. Sie lacht immer.	Mrs Mertens is funny. She always laughs.	0
das Schild	sign	Haben Sie nicht das Schild gesehen?	Didn't you see the sign?	0
dich	you (accusative)	Die Blumen sind für dich.	The flowers are for you.	0
das Frühstück	breakfast	Möchtest du ein Ei zum Frühstück?	Would you like an egg for breakfast?	0
rauchen	to smoke	Ich rauche nicht.	I don't smoke.	0
die Milch	milk	Die Milch steht im Kühlschrank.	The milk is in the fridge.	0
für	for	Das ist für Sie.	That's for you.	0
der Zug	train	Ich fahre gern mit dem Zug.	I like travelling by train.	0
das Internet	internet	Das findest du im Internet.	You'll find that on the internet.	0
wir	we	Wir lernen Deutsch.	We're learning German.	0
der Reiseführer	travel guide (book / person)	Ich kaufe mir einen Reiseführer von Berlin.	I'm buying a travel guide of Berlin.	0
bisschen	a bit / a little	Ich spreche ein bisschen Deutsch.	I speak a little German.	0
der Bogen	sheet (of paper)	Schreiben Sie Ihre Lösungen auf den Antwortbogen.	Write your answers on the answer sheet.	0
suchen	to look for / search	Suchst du etwas?	Are you looking for something?	0
telefonieren	to phone / call	Darf ich mal telefonieren?	May I make a phone call?	0
der Appetit	appetite	Guten Appetit!	Enjoy your meal!	0
die Reise	trip / journey	Wir machen eine Reise nach Österreich.	We're taking a trip to Austria.	0
euer	your (plural)	Euer Kurs beginnt heute.	Your course starts today.	0
schön	beautiful / nice	Das ist sehr schön.	That's very nice.	0
das Problem	problem	Mein Problem ist die Sprache.	My problem is the language.	0
die Rezeption	reception	Fragen Sie bitte an der Rezeption.	Please ask at the reception.	0
warum	why	Warum kommt er nicht?	Why isn't he coming?	0
das Alter	age	Alter: 26 Jahre.	Age: 26 years.	0
die Pommes frites	chips / fries	Die Kinder essen Hähnchen mit Pommes frites.	The children eat chicken with fries.	0
gegen	against / around	Fahr nicht gegen den Baum!	Don't drive into the tree!	0
gestorben	died / dead	Meine Frau ist gestern gestorben.	My wife died yesterday.	0
fremd	foreign / strange	Das weiß ich nicht; ich bin fremd hier.	I don't know that; I'm a stranger here.	0
der Kühlschrank	fridge	Haben wir noch Milch? - Ja, im Kühlschrank.	Do we still have milk? - Yes, in the fridge.	0
die Uhr	clock / o'clock	Es ist vier Uhr.	It's four o'clock.	0
der Wein	wine	Nein danke, ich möchte keinen Wein.	No thanks, I don't want any wine.	0
das Kino	cinema	Wir sehen heute Abend im Kino einen Film.	Tonight we're watching a film at the cinema.	0
letzt-	last	Morgen ist der letzte Kurstag.	Tomorrow is the last day of the course.	0
schreiben	to write	Er schreibt jeden Tag fünfzig E-Mails.	He writes fifty emails every day.	0
wollen	to want	Wollen Sie einen Kaffee trinken?	Do you want to drink a coffee?	0
schmecken	to taste	Schmeckt das gut?	Does that taste good?	0
das Getränk	drink / beverage	Mein Lieblingsgetränk ist Tomatensaft.	My favourite drink is tomato juice.	0
bis	until / to	Ich fahre nur bis Stuttgart.	I'm only going as far as Stuttgart.	0
der Kopf	head	Mein Kopf tut weh!	My head hurts!	0
oder	or	Wann können Sie kommen - heute oder morgen?	When can you come - today or tomorrow?	0
die Prüfung	exam	Die Prüfung ist am Montag um 8 Uhr.	The exam is on Monday at 8 am.	0
der Hund	dog	Der Hund ist noch jung.	The dog is still young.	0
der Raum	room / space	Der Unterricht ist in Raum 332.	The class is in room 332.	0
das Bad	bathroom / bath	Wir haben kein großes Bad.	We don't have a big bathroom.	0
erklären	to explain	Kannst du mir das erklären?	Can you explain that to me?	0
die Ansage	announcement	Hören Sie die Ansagen.	Listen to the announcements.	0
um	at / around	Er kommt um sieben Uhr.	He's coming at seven o'clock.	0
die Ankunft	arrival	Auf diesem Plan steht nur die Ankunft der Züge.	This schedule shows only the arrival of the trains.	0
der Kiosk	kiosk / newsstand	Am Kiosk bekommen Sie Getränke und Zeitungen.	At the kiosk you get drinks and newspapers.	0
der Tisch	table	Die Fotos liegen auf dem Tisch.	The photos are on the table.	0
breit	wide / broad	Wie breit ist der Schrank?	How wide is the cupboard?	0
der Schüler	pupil / student	In meinem Kurs sind acht Schülerinnen und fünf Schüler.	In my course there are eight female and five male pupils.	0
kommen	to come	Woher kommen Sie? - Aus Frankreich.	Where do you come from? - From France.	0
drucken	to print	Bitte drucke das Formular für mich.	Please print the form for me.	0
das Haus	house	In welchem Haus wohnst du?	Which house do you live in?	0
die Reparatur	repair	Die Reparatur ist sehr teuer.	The repair is very expensive.	0
die Aussage	statement	Ist die Aussage richtig oder falsch?	Is the statement true or false?	0
reparieren	to repair	Er hat das Fahrrad repariert.	He repaired the bicycle.	0
riechen	to smell	Dieser Wein riecht gut.	This wine smells good.	0
der Herr	Mr / gentleman	Guten Tag, Herr Sommer!	Hello, Mr Sommer!	0
das Gespräch	conversation	Das Gespräch mit Frau Kunz ist um 14 Uhr.	The meeting with Mrs Kunz is at 2 pm.	0
die Sehenswürdigkeit	sight / attraction	Welche Sehenswürdigkeiten gibt es in Frankfurt?	What sights are there in Frankfurt?	0
der Partner / die Partnerin	partner	Sie ist meine Partnerin.	She is my partner.	0
der Test	test	Der Test war einfach.	The test was easy.	0
die Birne	pear / light bulb	Ein Kilo Birnen, bitte!	A kilo of pears, please!	0
sprechen	to speak	Kann ich (mit) Herrn Klein sprechen?	Can I speak to Mr Klein?	0
der Dank	thanks	Vielen Dank!	Many thanks!	0
die Anmeldung	registration	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.	0
der Ausgang	exit	Wo ist der Ausgang?	Where is the exit?	0
willkommen	welcome	Herzlich willkommen!	Welcome!	0
früher	earlier / in the past	Früher waren wir oft zusammen im Kino.	In the past we often went to the cinema together.	0
die Blume	flower	Gefallen dir die Blumen?	Do you like the flowers?	0
die CD	CD	Bring bitte deine Lieblings-CD mit.	Please bring your favourite CD.	0
der Satz	sentence	Dieser Satz ist sehr einfach.	This sentence is very simple.	0
